Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2025,Negative Regulation of Hippo Signaling (GO:0035331),2/23,0.0054019331785707,0.0270428065872005,0,0,20.144883485309016,105.1764043129469,SRC;MAPK14
GO_Biological_Process_2025,Negative Regulation of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176),2/23,0.0054019331785707,0.0270428065872005,0,0,20.144883485309016,105.1764043129469,FYN;HIF1A
GO_Biological_Process_2025,Phosphatidylinositol-Mediated Signaling (GO:0048015),2/23,0.0054019331785707,0.0270428065872005,0,0,20.144883485309016,105.1764043129469,PIK3CA;FGFR1
GO_Biological_Process_2025,Positive Regulation of Cell-Substrate Junction Organization (GO:0150117),2/23,0.0054019331785707,0.0270428065872005,0,0,20.144883485309016,105.1764043129469,KDR;VEGFA
GO_Biological_Process_2025,Positive Regulation of Phosphate Metabolic Process (GO:0045937),2/23,0.0054019331785707,0.0270428065872005,0,0,20.144883485309016,105.1764043129469,SRC;SNCA
GO_Biological_Process_2025,Positive Regulation of Tyrosine Phosphorylation of STAT Protein (GO:0042531),2/23,0.0054019331785707,0.0270428065872005,0,0,20.144883485309016,105.1764043129469,FLT3;KIT
GO_Biological_Process_2025,Prostanoid Metabolic Process (GO:0006692),2/23,0.0054019331785707,0.0270428065872005,0,0,20.144883485309016,105.1764043129469,CBR1;PTGES
GO_Biological_Process_2025,Negative Regulation of Apoptotic Signaling Pathway (GO:2001234),3/74,0.0054304585113902,0.0271024718366634,0,0,9.010904134484326,46.99845841376069,SRC;BCL2;MMP9
GO_Biological_Process_2025,Import Into Nucleus (GO:0051170),3/75,0.0056372798281507,0.027629678933935,0,0,8.885304659498209,46.01124963529802,MMP12;TERT;SIRT6
GO_Biological_Process_2025,Positive Regulation of Protein Serine/Threonine Kinase Activity (GO:0071902),3/75,0.0056372798281507,0.027629678933935,0,0,8.885304659498209,46.01124963529802,FLT3;SRC;FGFR1
GO_Biological_Process_2025,Positive Regulation of Secretion by Cell (GO:1903532),3/75,0.0056372798281507,0.027629678933935,0,0,8.885304659498209,46.01124963529802,ACHE;TTR;SNCA
GO_Biological_Process_2025,Glycoprotein Biosynthetic Process (GO:0009101),3/76,0.0058487757270354,0.027629678933935,0,0,8.763146266018559,45.055917352368986,FUT7;FUT4;ST3GAL3
GO_Biological_Process_2025,Lymphocyte Differentiation (GO:0030098),3/76,0.0058487757270354,0.027629678933935,0,0,8.763146266018559,45.055917352368986,FLT3;AXL;KIT
GO_Biological_Process_2025,Negative Regulation of Supramolecular Fiber Organization (GO:1902904),3/76,0.0058487757270354,0.027629678933935,0,0,8.763146266018559,45.055917352368986,PIK3CA;DYRK1A;SNCA
GO_Biological_Process_2025,Positive Regulation of Protein Secretion (GO:0050714),3/76,0.0058487757270354,0.027629678933935,0,0,8.763146266018559,45.055917352368986,ACHE;TTR;SIRT6
